MovielID,Name,Gnere,Introduction,Director,Writers,Stars
1,Toy Story (1995) ,Animation|Adventure|Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,John Lasseter|Pete Docter,Tom Hanks|Tim Allen|Don Rickles
2,GoldenEye (1995) ,Action|Adventure|Thriller,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",Martin Campbell,Ian Fleming|Michael France,Pierce Brosnan|Sean Bean|Izabella Scorupco
3,Four Rooms (1995) ,Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Allison Anders|Alexandre Rockwell,Allison Anders|Alexandre Rockwell,Tim Roth|Antonio Banderas|Sammi Davis
4,Get Shorty (1995) ,Comedy|Crime|Thriller,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Barry Sonnenfeld,Elmore Leonard|Scott Frank,Gene Hackman|Rene Russo|Danny DeVito
5,Copycat (1995) ,Drama|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,Ann Biderman|David Madsen,Sigourney Weaver|Holly Hunter|Dermot Mulroney
6,"Yao a yao, yao dao wai po qiao (1995) ",Crime|Drama|History,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,Feiyu Bi|Li Xiao,Li Gong|Baotian Li|Xiaoxiao Wang
7,The Making of 'Twelve Monkeys' (1996) ,Documentary|Short,,,,Madeleine Stowe|Bruce Willis
8,Babe (1995) ,Comedy|Drama|Family,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",Chris Noonan,Dick King-Smith|George Miller,James Cromwell|Magda Szubanski|Christine Cavanaugh
9,Dead Man Walking (1995) ,Crime|Drama,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,Helen Prejean|Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky
10,Richard III (1995) ,Drama|Sci-Fi|War,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,Ian McKellen|Richard Loncraine,Ian McKellen|Annette Bening|Christopher Bowen
11,Se7en (1995) ,Crime|Drama|Mystery,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Andrew Kevin Walker,Morgan Freeman|Brad Pitt|Kevin Spacey
12,Silver Shamrocks vs The Usual Suspects             ,Game-Show,"The pool c finals arrive as The Usual Suspects (1-0) march into the finals following a victory over The Odd Couple and a forfeit from Truth About Chaos, while Silver Shamrocks (2-1) swept …",,,Kaleb Koho|Paul Oyama|Lucas Schildbach
13,Mighty Aphrodite (1995) ,Comedy|Fantasy|Romance,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair
14,Il postino (1994) ,Biography|Comedy|Drama,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford|Massimo Troisi,Antonio Sk谩rmeta|Furio Scarpelli,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta
15,Mr. Holland's Opus (1995) ,Drama|Music,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss|Glenne Headly|Jay Thomas
16,Gazon maudit (1995) ,Comedy,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Josiane Balasko,Patrick Aubr茅e|Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat
17,From Dusk Till Dawn (1996) ,Action|Crime|Horror,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,Robert Kurtzman|Quentin Tarantino,Harvey Keitel|George Clooney|Juliette Lewis
18,Badkonake sefid (1995) ,Drama|Family,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Jafar Panahi,Abbas Kiarostami|Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
19,Antonia (1995) ,Comedy|Drama,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop
20,Angels and Insects (1995) ,Drama|Romance,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,A.S. Byatt|Belinda Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
21,Muppet Treasure Island (1996) ,Action|Adventure|Comedy,The Muppets' twist on the classic tale.,Brian Henson|David Lane,Robert Louis Stevenson|Jerry Juhl,Tim Curry|Billy Connolly|Jennifer Saunders
22,Braveheart (1995) ,Biography|Drama|History,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Randall Wallace,Mel Gibson|Sophie Marceau|Patrick McGoohan
23,Taxi Driver (1976) ,Crime|Drama,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Martin Scorsese,Paul Schrader,Robert De Niro|Jodie Foster|Cybill Shepherd
24,Hung fan kui (1995) ,Action|Comedy|Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,Edward Tang|Fibe Ma,Jackie Chan|Anita Mui|Fran莽oise Yip
25,The Birdcage (1996) ,Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fianc茅e's right-wing moralistic parents.,Mike Nichols,Jean Poiret|Francis Veber,Robin Williams|Nathan Lane|Gene Hackman
26,The Brothers McMullen (1995) ,Comedy|Drama|Romance,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",Edward Burns,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns
27,Bad Boys (1995) ,Action|Comedy|Crime,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,George Gallo|Michael Barrie,Will Smith|Martin Lawrence|Lisa Boyle
28,Apollo 13 (1995) ,Adventure|Drama|History,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Ron Howard,Jim Lovell|Jeffrey Kluger,Tom Hanks|Bill Paxton|Kevin Bacon
29,Batman Forever (1995) ,Action|Adventure,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Joel Schumacher,Bob Kane|Lee Batchler,Val Kilmer|Tommy Lee Jones|Jim Carrey
30,Belle de jour (1967) ,Drama|Romance,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Bu帽uel,Joseph Kessel|Luis Bu帽uel,Catherine Deneuve|Jean Sorel|Michel Piccoli
31,Crimson Tide (1995) ,Action|Drama|Thriller,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",Tony Scott,Michael Schiffer|Richard P. Henrick,Gene Hackman|Denzel Washington|Matt Craven
32,Crumb (1994) ,Documentary|Biography|Comedy,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,Terry Zwigoff,,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb
33,Desperado (1995) ,Action|Crime|Thriller,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,Robert Rodriguez,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida
34,The Doom Generation (1995) ,Comedy|Crime|Drama,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",Gregg Araki,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech
35,Free Willy 2: The Adventure Home (1995) ,Adventure|Drama|Family,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,Dwight H. Little,Keith Walker|Karen Janszen,Jason James Richter|Michael Madsen|Francis Capra
36,Mad Love (1995) ,Comedy|Drama|Romance,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,Antonia Bird,Paula Milne,Chris O'Donnell|Drew Barrymore|Matthew Lillard
37,Nadja (1994) ,Drama|Horror,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of …",Michael Almereyda,Michael Almereyda,Elina L枚wensohn|Peter Fonda|Nic Ratner
38,The Net (1995) ,Action|Crime|Drama,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.",Irwin Winkler,John Brancato|Michael Ferris,Sandra Bullock|Jeremy Northam|Dennis Miller
39,Strange Days (1995) ,Action|Crime|Drama,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,Kathryn Bigelow,James Cameron|James Cameron,Ralph Fiennes|Angela Bassett|Juliette Lewis
40,"To Wong Foo Thanks for Everything, Julie Newmar (1995) ",Comedy|Drama,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Beeban Kidron,Douglas Carter Beane,Wesley Snipes|Patrick Swayze|John Leguizamo
41,Billy Madison (1995) ,Comedy,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",Tamra Davis,Tim Herlihy|Adam Sandler,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras
42,Clerks (1994) ,Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti
43,Disclosure (1994) ,Drama|Thriller,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Barry Levinson,Michael Crichton|Paul Attanasio,Michael Douglas|Demi Moore|Donald Sutherland
44,Dolores Claiborne (1995) ,Crime|Drama|Mystery,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,Taylor Hackford,Stephen King|Tony Gilroy,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer
45,Yin shi nan nu (1994) ,Comedy|Drama|Romance,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,Ang Lee,Ang Lee|James Schamus,Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang
46,Exotica (1994) ,Drama,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",Atom Egoyan,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar
