MovielID,Name,Gnere,Introduction,Director,Writers,Stars
1,Toy Story (1995) ,Animation|Adventure|Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,John Lasseter|Pete Docter,Tom Hanks|Tim Allen|Don Rickles
2,Jumanji (1995) ,Adventure|Comedy|Family,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,Jonathan Hensleigh|Greg Taylor,Robin Williams|Kirsten Dunst|Bonnie Hunt
3,Grumpier Old Men (1995) ,Comedy|Romance,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,Mark Steven Johnson|Mark Steven Johnson,Walter Matthau|Jack Lemmon|Ann-Margret
4,Waiting to Exhale (1995) ,Comedy|Drama|Romance,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",Forest Whitaker,Terry McMillan|Terry McMillan,Whitney Houston|Angela Bassett|Loretta Devine
5,Father of the Bride Part II (1995) ,Comedy|Family|Romance,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",Charles Shyer,Albert Hackett|Frances Goodrich,Steve Martin|Diane Keaton|Martin Short
6,Heat (1995) ,Crime|Drama|Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
7,Sabrina (1995) ,Comedy|Drama|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,Samuel A. Taylor|Billy Wilder,Harrison Ford|Julia Ormond|Greg Kinnear
8,Tom and Huck (1995) ,Adventure|Comedy|Drama,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Peter Hewitt,Mark Twain|Stephen Sommers,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket
9,Sudden Death (1995) ,Action|Crime|Thriller,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,Karen Elise Baldwin|Gene Quintano,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry
10,GoldenEye (1995) ,Action|Adventure|Thriller,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",Martin Campbell,Ian Fleming|Michael France,Pierce Brosnan|Sean Bean|Izabella Scorupco
11,The American President (1995) ,Comedy|Drama|Romance,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",Rob Reiner,Aaron Sorkin,Michael Douglas|Annette Bening|Martin Sheen
12,Dracula: Dead and Loving It (1995) ,Comedy|Fantasy|Horror,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.,Mel Brooks,Mel Brooks|Rudy De Luca,Leslie Nielsen|Mel Brooks|Peter MacNicol
13,Balto (1995) ,Animation|Adventure|Drama,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,Cliff Ruby|Elana Lesser,Kevin Bacon|Bob Hoskins|Bridget Fonda
14,Nixon (1995) ,Biography|Drama|History,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",Oliver Stone,Stephen J. Rivele|Christopher Wilkinson,Anthony Hopkins|Joan Allen|Powers Boothe
15,Cutthroat Island (1995) ,Action|Adventure|Comedy,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,Michael Frost Beckner|James Gorman,Geena Davis|Matthew Modine|Frank Langella
16,Casino (1995) ,Crime|Drama,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,Nicholas Pileggi|Nicholas Pileggi,Robert De Niro|Sharon Stone|Joe Pesci
17,Sense and Sensibility (1995) ,Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Ang Lee,Jane Austen|Emma Thompson,Emma Thompson|Kate Winslet|James Fleet
18,Four Rooms (1995) ,Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Allison Anders|Alexandre Rockwell,Allison Anders|Alexandre Rockwell,Tim Roth|Antonio Banderas|Sammi Davis
19,Ace Ventura: When Nature Calls (1995) ,Adventure|Comedy|Crime,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,Jack Bernstein|Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow
20,Money Train (1995) ,Action|Comedy|Crime,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",Joseph Ruben,Doug Richardson|Doug Richardson,Wesley Snipes|Woody Harrelson|Jennifer Lopez
21,Get Shorty (1995) ,Comedy|Crime|Thriller,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Barry Sonnenfeld,Elmore Leonard|Scott Frank,Gene Hackman|Rene Russo|Danny DeVito
22,Copycat (1995) ,Drama|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,Ann Biderman|David Madsen,Sigourney Weaver|Holly Hunter|Dermot Mulroney
23,Assassins (1995) ,Action|Crime|Thriller,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Richard Donner,Lilly Wachowski|Lana Wachowski,Sylvester Stallone|Antonio Banderas|Julianne Moore
24,Powder (1995) ,Drama|Fantasy|Mystery,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Victor Salva,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen
25,Leaving Las Vegas (1995) ,Drama|Romance,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,John O'Brien|Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands
26,Othello (1995) ,Drama|Romance,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",Oliver Parker,Oliver Parker|William Shakespeare,Laurence Fishburne|Kenneth Branagh|Irène Jacob
27,Now and Then (1995) ,Comedy|Drama|Romance,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,Lesli Linka Glatter,I. Marlene King,Christina Ricci|Demi Moore|Rosie O'Donnell
28,Persuasion             ,Drama,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken ",Roger Michell,Jane Austen|Nick Dear,Amanda Root|Ciarán Hinds|Susan Fleetwood
29,La cité des enfants perdus (1995) ,Fantasy|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Marc Caro|Jean-Pierre Jeunet,Gilles Adrien|Jean-Pierre Jeunet,Ron Perlman|Daniel Emilfork|Judith Vittet
30,"Yao a yao, yao dao wai po qiao (1995) ",Crime|Drama|History,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,Feiyu Bi|Li Xiao,Li Gong|Baotian Li|Xiaoxiao Wang
31,Dangerous Minds (1995) ,Biography|Drama,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,John N. Smith,LouAnne Johnson|Ronald Bass,Michelle Pfeiffer|George Dzundza|Courtney B. Vance
32,The Making of 'Twelve Monkeys' (1996) ,Documentary|Short,Add a Plot »,,,Madeleine Stowe|Bruce Willis
33,Wings of Courage (1995) ,Adventure|Romance,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",Jean-Jacques Annaud,Alain Godard|Jean-Jacques Annaud,Craig Sheffer|Elizabeth McGovern|Tom Hulce
